type,name,weight,
minor_advantage,Animal Magnetism,1,
minor_advantage,Astral Perception,1,
minor_advantage,Badass Rep,1,
minor_advantage,Caballero,1,
minor_advantage,Crafter,1,
minor_advantage,Die Hard,1,
minor_advantage,Golden Arm,1,
minor_advantage,Keen Sight,1,
minor_advantage,Keen Taste,1,
minor_advantage,Kind Soul,1,
minor_advantage,Light Sleeper,1,
minor_advantage,Nice Piece Of Barter,1,
minor_advantage,Radar Love,1,
minor_advantage,Small Appetite,1,
minor_advantage,Slug Blood,1,
minor_advantage,Strong Heart,1,
minor_advantage,Working Relationship,1,
major_advantage,Blessed By Atom,2,
major_advantage,Born Survivor,2,
major_advantage,Brass Round Ones,2,
major_advantage,Group Affiliation,2,
major_advantage,Hyper Aware,2,
major_advantage,Junker Savant,2,
major_advantage,Lucky Mutated Rabbit's Foot,2,
major_advantage,Man And Machine,2,
major_advantage,Master Scavenger,2,
major_advantage,Mighty Thews,2,
major_advantage,Poker Face,2,
major_advantage,Primo Pain Dealer,2,
major_advantage,Psionic,2,
major_advantage,Shaman,2,
major_advantage,Sure-footed,2,
major_advantage,Theurgy,2,
major_advantage,Thick Skull,2,
trait,"Bromance, Nascent Lovers, Frenemies, Blood Brothers",0,
trait,Conditional Competence,0,
trait,Four Eyes,0,
trait,Handi-capable,0,
trait,Kan-a-bull,0,
trait,Mutant,0,
minor_disadvantage,Addition,-1,
minor_disadvantage,Ain't Got Nothin',-1,
minor_disadvantage,Bad Blood,-1,
minor_disadvantage,Bleeder,-1,
minor_disadvantage,Disfigured,-1,
minor_disadvantage,Frail,-1,
minor_disadvantage,Gringo,-1,
minor_disadvantage,Hateful Past,-1,
minor_disadvantage,Hefty Chonk,-1,
minor_disadvantage,Ignorant,-1,
minor_disadvantage,Psycho,-1,
minor_disadvantage,Rad Hairstyle,-1,
major_disadvantage,Allergy,-2,
major_disadvantage,Astral Pariah,-2,
major_disadvantage,Avowed Pacifist,-2,
major_disadvantage,Burnout,-2,
major_disadvantage,Code Of Honor,-2,
major_disadvantage,Life Debt,-2,
major_disadvantage,Horrid Mutation,-2,
major_disadvantage,Machine Dependency,-2,
major_disadvantage,Marked For Death,-2,
major_disadvantage,Mega Chonker,-2,
major_disadvantage,Night Terrors,-2,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
