type,name,weight
major_advantage,Blessed By Atom,2
major_advantage,Born Survivor,2
major_advantage,Brass Round Ones,2
major_advantage,Group Affiliation,2
major_advantage,Hyper Aware,2
major_advantage,Junker Savant,2
major_advantage,Lucky Mutated Rabbit's Foot,2
major_advantage,Man And Machine,2
major_advantage,Master Scavenger,2
major_advantage,Mighty Thews,2
major_advantage,Poker Face,2
major_advantage,Primo Pain Dealer,2
major_advantage,Psionic,2
major_advantage,Shaman,2
major_advantage,Sure-footed,2
major_advantage,Theurgy,2
major_advantage,Thick Skull,2
