name,requirements,cost,training
Armor Repair,Engineering 2 or Armorer 2,4,Yes
Chemistry 1,,3,Yes
Chemistry 2,,6,Yes
Chemistry 3,,9,Yes
Chemistry 4,,12,Yes
Chemistry 5,,15,Yes
Demolitionist 1,,2,Yes
Demolitionist 2,,4,Yes
Demolitionist 3,,6,Yes
Demolitionist 4,,8,Yes
Demolitionist 5,,10,Yes
Pharmacist 1,,2,Yes
Pharmacist 2,,4,Yes
Pharmacist 3,,6,Yes
Pharmacist 4,,8,Yes
Pharmacist 5,,10,Yes
Pusher 1,,2,Yes
Pusher 2,,4,Yes
Pusher 3,,6,Yes
Pusher 4,,8,Yes
Pusher 5,,10,Yes
Cooking 1,,4,Yes
Cooking 2,,4,Yes
Cooking 3,,4,Yes
Cooking 4,,4,Yes
Cooking 5,,4,Yes
Decontaminate,Cooking 1,4,Yes
Efficient Cooking,Cooking 3,4,Yes
Remove Allergen,Cooking 2,3,Yes
Efficient Repair,Engineering 3 or Electronics 3,4,No
Electronics 1,,3,Yes
Electronics 2,,6,Yes
Electronics 3,,9,Yes
Electronics 4,,12,Yes
Electronics 5,,15,Yes
Cyberneticist 1,,2,Yes
Cyberneticist 2,,4,Yes
Cyberneticist 3,,6,Yes
Cyberneticist 4,,8,Yes
Cyberneticist 5,,10,Yes
Hardware Specialist 1,,2,Yes
Hardware Specialist 2,,4,Yes
Hardware Specialist 3,,6,Yes
Hardware Specialist 4,,8,Yes
Hardware Specialist 5,,10,Yes
Laser Tech 1,,2,Yes
Laser Tech 2,,4,Yes
Laser Tech 3,,6,Yes
Laser Tech 4,,8,Yes
Laser Tech 5,,10,Yes
Engineering 1,,3,Yes
Engineering 2,,6,Yes
Engineering 3,,9,Yes
Engineering 4,,12,Yes
Engineering 5,,15,Yes
Armorer 1,,2,Yes
Armorer 2,,4,Yes
Armorer 3,,6,Yes
Armorer 4,,8,Yes
Armorer 5,,10,Yes
Corps Engineer 1,,2,Yes
Corps Engineer 2,,4,Yes
Corps Engineer 3,,6,Yes
Corps Engineer 4,,8,Yes
Corps Engineer 5,,10,Yes
Motorhead 1,,2,Yes
Motorhead 2,,4,Yes
Motorhead 3,,6,Yes
Motorhead 4,,8,Yes
Motorhead 5,,10,Yes
EOD 1,Electronics 2,2,Yes
EOD 2,Electronics 2,2,Yes
EOD 3,Electronics 2,2,Yes
EOD 4,Electronics 2,2,Yes
EOD 5,Electronics 2,2,Yes
Firearm Repair,Engineering 2 or Armorer 2,3,Yes
Glyphs,,1,No
Locksmith 1,,3,Yes
Locksmith 2,,3,Yes
Locksmith 3,,3,Yes
Locksmith 4,,3,Yes
Locksmith 5,,3,Yes
Melee Weapon Repair,Engineering 2 or Armorer 2,3,Yes
Quick Crafting,,2,No
Reed ‘n’ Right,Glyphs,3,Yes
Salvage Shit,Engineering 1 or Electronics 1,2,Yes
Apply Pressure,,1,Yes
Diagnose,,2,Yes
First Aid 1,Diagnose,5,Yes
First Aid 2,Diagnose,5,Yes
First Aid 3,Diagnose,5,Yes
First Aid 4,Diagnose,5,Yes
First Aid 5,Diagnose,5,Yes
Folk Medicine,Herbalism 1,8,Yes
Stabilize,First Aid 1,3,Yes
Resuscitate,First Aid 2,4,Yes
Defibrillate,First Aid 3,4,Yes
Internal Medicine 1,Diagnose,6,Yes
Internal Medicine 2,Diagnose,6,Yes
Internal Medicine 3,Diagnose,6,Yes
Internal Medicine 4,Diagnose,6,Yes
Internal Medicine 5,Diagnose,6,Yes
Surgeon,First Aid 5 or Internal Medicine and Trauma Medic,5,Yes
Trauma Medic 1,Diagnose,5,Yes
Trauma Medic 2,Diagnose,5,Yes
Trauma Medic 3,Diagnose,5,Yes
Trauma Medic 4,Diagnose,5,Yes
Trauma Medic 5,Diagnose,5,Yes
Computers 1,Reed ‘n’ Right,6,Yes
Computers 2,Reed ‘n’ Right,6,Yes
Computers 3,Reed ‘n’ Right,6,Yes
Computers 4,Reed ‘n’ Right,6,Yes
Computers 5,Reed ‘n’ Right,6,Yes
Herbalism 1,,2,Yes
Herbalism 2,,4,Yes
Herbalism 3,,6,Yes
Herbalism 4,,8,Yes
Herbalism 5,,10,Yes
Hunting 1,,3,No
Hunting 2,,3,No
Hunting 3,,3,No
Knowledge,,2,Yes
Scavenging 1,,5,No
Scavenging 2,,5,No
Scavenging 3,,5,No
Scavenging 4,,5,No
