type,name,weight
minor_advantage,Animal Magnetism,1
minor_advantage,Astral Perception,1
minor_advantage,Badass Rep,1
minor_advantage,Caballero,1
minor_advantage,Crafter,1
minor_advantage,Die Hard,1
minor_advantage,Golden Arm,1
minor_advantage,Keen Sight,1
minor_advantage,Keen Taste,1
minor_advantage,Kind Soul,1
minor_advantage,Light Sleeper,1
minor_advantage,Nice Piece Of Barter,1
minor_advantage,Radar Love,1
minor_advantage,Small Appetite,1
minor_advantage,Slug Blood,1
minor_advantage,Strong Heart,1
minor_advantage,Working Relationship,1
