name,requirements,cost,training
Short Weapons,,0,No
Medium Weapons,Short Weapons,2,No
Large Weapons,Medium Weapons,3,Yes
Two Handed Weapons,Large Weapons,3,Yes
Power Attack +1,Medium Weapons,2,No
Power Attack +2,Power Attack 1 x3,3,No
Dual Wield 1,,4,Yes
Dual Wield 2,,4,Yes
Dual Wield 3,,4,Yes
Revolvers,,3,No
Semi-Automatics,Revolvers,3,No
Shotguns,Revolvers,4,No
SMGs,Semi-Automatics,4,Yes
Rifles,Revolvers,4,Yes
Assault Rifles,Sub-Machine Guns,4,Yes
Advanced Firearms,,3,Yes
Precise Shot +1,Revolvers or Archery,2,No
Small Shield,,3,No
Medium Shield,Small Shields,4,No
Large Shield,Medium Shields,5,No
Light Armor,,3,No
Medium Armor,Light Armor,4,No
Heavy Armor,Medium Armor,5,No
Block,,2,No
Evade,,4,No
Thrown Weapons,,2,No
Slingshots,,2,No
Chop Socky 1,,4,Yes
Chop Socky 2,,4,Yes
Chop Socky 3,,4,Yes
Way of the Warrior,Chop Socky 2,2,No
Archery,,5,No
Athletics,,2,No
Climbing,,3,No
