name,skill requirements,cost,training
Barter 1,,5,No
Barter 2,,5,No
Barter 3,,5,No
Barter 4,,5,No
Barter 5,,5,No
Cheat 1,Gambling,3,Yes
Cheat 2,Gambling,3,Yes
Cheat 3,Gambling,3,Yes
Cheat 4,Gambling,3,Yes
Cheat 5,Gambling,3,Yes
Gambling 1,,2,No
Gambling 2,,2,No
Gambling 3,,2,No
Gambling 4,,2,No
Gambling 5,,2,No
Interrogation 1,,3,Yes
Interrogation 2,,3,Yes
Interrogation 3,,3,Yes
Interrogation 4,,3,Yes
Interrogation 5,,3,Yes
Enhanced Interrogation 1,Interrogation,3,Yes
Enhanced Interrogation 2,Interrogation,3,Yes
Enhanced Interrogation 3,Interrogation,3,Yes
Enhanced Interrogation 4,Interrogation,3,Yes
Enhanced Interrogation 5,Interrogation,3,Yes
Intimidation 1,,3,No
Intimidation 2,,3,No
Intimidation 3,,3,No
Intimidation 4,,3,No
Intimidation 5,,3,No
Instruction,Leadership 2,5,Yes
Leadership 1,,4,Yes
Leadership 2,,4,Yes
Leadership 3,,4,Yes
Leadership 4,,4,Yes
Leadership 5,,4,Yes
Fight Through It 1,Leadership 1,3,No
Fight Through It 2,Leadership 1,3,No
Fight Through It 3,Leadership 1,3,No
Fight Through It 4,Leadership 1,3,No
Fight Through It 5,Leadership 1,3,No
Reasoning 1,,3,No
Reasoning 2,,3,No
Reasoning 3,,3,No
Reasoning 4,,3,No
Reasoning 5,,3,No
Rumor Monger,,2,No
Teamwork,,3,No
Time Management 1,,5,No
Time Management 2,,5,No
Time Management 3,,5,No
Time Management 4,,5,No
Toughness 1,,4,No
Toughness 2,,4,No
Toughness 3,,4,No
Willpower 1,,5,No
Willpower 2,,5,No
Willpower 3,,5,No
Willpower 4,,5,No
Willpower 5,,5,No
